Timestamp,Throughput,LossRate,Latency,SendingRate,time,CCA
2024-05-30 07:33:07,5576248,9.5982070522e-06,0.0002494402203695,493113.71700213966,87.0,CUBIC
2024-05-30 07:33:08,5130264,9.5305262061e-06,0.0001711255106432,484343.5279216048,88.0,CUBIC
2024-05-30 07:33:09,5473440,9.4644405529e-06,0.0002572686938757,530369.2475757542,89.0,CUBIC
2024-05-30 07:33:10,5615344,9.3963036095e-06,0.0002447513900861,507658.4267554559,90.0,CUBIC
2024-05-30 07:33:11,5705120,9.3277476554e-06,0.0002547030501393,475297.1172270186,91.0,CUBIC
2024-05-30 07:33:12,5661680,9.2599085135e-06,0.0002602769867167,509474.4541747648,92.0,CUBIC
2024-05-30 07:33:13,5626928,9.193505541e-06,0.0002840185437107,512406.8754271857,93.0,CUBIC
2024-05-30 07:33:14,7240000,9.1189923399e-06,0.0002618282994188,473767.3412895278,94.0,CUBIC
2024-05-30 07:33:15,6098976,9.0429678198e-06,0.0002542723068331,486137.83294459846,95.0,CUBIC
2024-05-30 07:33:16,5957072,8.9753560209e-06,0.000250713180446,481721.9038722765,96.0,CUBIC
2024-05-30 07:33:17,6045400,8.9090445632e-06,0.0002575566345585,512695.15512133634,97.0,CUBIC
2024-05-30 07:33:18,5554528,8.8458731251e-06,0.0002534309654491,490408.0237587796,98.0,CUBIC
2024-05-30 07:33:19,5395248,8.7870610724e-06,0.0001977209505959,502051.1351025972,99.0,CUBIC
2024-05-30 07:33:20,6014992,8.726612863e-06,0.0002368940514629,496127.89665788086,100.0,CUBIC
2024-05-30 07:33:21,5615344,8.665836787e-06,0.0002404059739913,497831.1917945173,101.0,CUBIC
2024-05-30 07:33:22,5961416,8.6061842812e-06,0.0002379852842508,498399.9255677095,102.0,CUBIC
2024-05-30 07:33:23,5690640,8.5469603678e-06,0.000259929426391,501903.5261233788,103.0,CUBIC
2024-05-30 07:33:24,6043952,8.4881352508e-06,0.0002636734083286,501576.458791425,104.0,CUBIC
2024-05-30 07:33:25,7975584,8.4189365184e-06,0.0002368381442804,444337.66450886655,105.0,CUBIC
2024-05-30 07:33:26,5891912,8.3515439702e-06,0.0002558637471472,498428.25748125056,106.0,CUBIC
2024-05-30 07:33:27,6125040,8.2940331045e-06,0.000241740262462,501703.10871688434,107.0,CUBIC
2024-05-30 07:33:28,5354704,8.2398234095e-06,0.0002533776559883,501396.3807939239,108.0,CUBIC
2024-05-30 07:33:29,6112008,8.1863867951e-06,0.0002322611962809,493386.8477575432,109.0,CUBIC
2024-05-30 07:36:41,9069003,0.0034533278489542,0.0002651966102055,441188.576607832,0.0,PCC
2024-05-30 07:36:42,11320464,0.00031052853617,0.0002789111992022,436995.2063180872,1.0,PCC
2024-05-30 07:36:43,10438632,0.0001719345683624,0.00025781430256,493798.4212278128,2.0,PCC
2024-05-30 07:36:44,10012920,0.0001219677703418,0.0002818313443776,466062.67046805966,3.0,PCC
2024-05-30 07:36:45,10120072,9.49845642716e-05,0.0002702249536317,484496.20103826944,4.0,PCC
2024-05-30 07:36:46,9115160,7.83849625227e-05,0.000272210461,480218.3836607917,5.0,PCC
2024-05-30 07:36:47,8819768,6.74370144337e-05,0.0002733847619691,463188.1168611937,6.0,PCC
2024-05-30 07:36:48,9522048,5.90295486322e-05,0.0002660778217653,571538.5247583105,7.0,PCC
2024-05-30 07:36:49,9099232,5.23834664169e-05,0.0002846676054715,601120.6556386102,8.0,PCC
2024-05-30 07:36:50,8877688,4.72521896239e-05,0.0002693114493057,590414.6733240688,9.0,PCC
2024-05-30 07:36:51,7406288,4.33946610305e-05,0.0002695369668964,529230.5313977008,10.0,PCC
2024-05-30 07:36:52,7668840,4.03540311265e-05,0.0002675729941807,612860.8016270436,11.0,PCC
